game,season,home,away
0021500001,2015,ATL,DET
0021500002,2015,CHI,CLE
0021500003,2015,GSW,NOP
0021500004,2015,ORL,WAS
0021500005,2015,BOS,PHI
0021500006,2015,BKN,CHI
0021500007,2015,DET,UTA
0021500008,2015,MIA,CHA
0021500009,2015,TOR,IND
0021500010,2015,HOU,DEN
0021500011,2015,MEM,CLE
0021500012,2015,MIL,NYK
0021500013,2015,OKC,SAS
0021500014,2015,PHX,DAL
0021500015,2015,POR,NOP
0021500016,2015,SAC,LAC
0021500017,2015,LAL,MIN
0021500018,2015,IND,MEM
0021500019,2015,NYK,ATL
0021500020,2015,LAC,DAL
0021500021,2015,CLE,MIA
0021500022,2015,ORL,OKC
0021500023,2015,PHI,UTA
0021500024,2015,BOS,TOR
0021500025,2015,DET,CHI
0021500026,2015,ATL,CHA
0021500027,2015,MIL,WAS
0021500028,2015,SAS,BKN
0021500029,2015,DEN,MIN
0021500030,2015,HOU,GSW
0021500031,2015,SAC,LAL
0021500032,2015,PHX,POR
0021500033,2015,IND,UTA
0021500034,2015,WAS,NYK
0021500035,2015,NOP,GSW
0021500036,2015,MEM,BKN
0021500037,2015,POR,PHX
0021500038,2015,LAC,SAC
0021500039,2015,CHA,ATL
0021500040,2015,BOS,SAS
0021500041,2015,MIA,HOU
0021500042,2015,TOR,MIL
0021500043,2015,CHI,ORL
0021500044,2015,OKC,DEN
0021500045,2015,LAL,DAL
0021500046,2015,PHI,CLE
0021500047,2015,BKN,MIL
0021500048,2015,NYK,SAS
0021500049,2015,HOU,OKC
0021500050,2015,MIN,POR
0021500051,2015,GSW,MEM
0021500052,2015,LAC,PHX
0021500053,2015,CHA,CHI
0021500054,2015,DET,IND
0021500055,2015,MIA,ATL
0021500056,2015,NOP,ORL
0021500057,2015,DAL,TOR
0021500058,2015,SAC,MEM
0021500059,2015,LAL,DEN
0021500060,2015,IND,BOS
0021500061,2015,WAS,SAS
0021500062,2015,ATL,BKN
0021500063,2015,CLE,NYK
0021500064,2015,HOU,ORL
0021500065,2015,MIL,PHI
0021500066,2015,OKC,TOR
0021500067,2015,PHX,SAC
0021500068,2015,UTA,POR
0021500069,2015,GSW,LAC
0021500070,2015,CHI,OKC
0021500071,2015,MIN,MIA
0021500072,2015,DAL,CHA
0021500073,2015,DEN,UTA
0021500074,2015,POR,MEM
0021500075,2015,ORL,TOR
0021500076,2015,BOS,WAS
0021500077,2015,BKN,LAL
0021500078,2015,CLE,PHI
0021500079,2015,NYK,MIL
0021500080,2015,IND,MIA
0021500081,2015,NOP,ATL
0021500082,2015,PHX,DET
0021500083,2015,GSW,DEN
0021500084,2015,SAC,HOU
0021500085,2015,CHI,MIN
0021500087,2015,PHI,ORL
0021500086,2015,ATL,WAS
0021500088,2015,DAL,NOP
0021500089,2015,MIL,BKN
0021500090,2015,SAS,CHA
0021500091,2015,UTA,MEM
0021500092,2015,SAC,GSW
0021500093,2015,LAC,HOU
0021500094,2015,CLE,IND
0021500095,2015,NYK,LAL
0021500096,2015,MIA,TOR
0021500097,2015,OKC,PHX
0021500098,2015,POR,DET
0021500099,2015,IND,ORL
0021500100,2015,PHI,CHI
0021500101,2015,ATL,MIN
0021500102,2015,DEN,POR
0021500103,2015,SAC,SAS
0021500104,2015,GSW,DET
0021500105,2015,LAC,MEM
0021500106,2015,CLE,UTA
0021500107,2015,WAS,OKC
0021500108,2015,MIA,LAL
0021500109,2015,TOR,NYK
0021500110,2015,MIL,BOS
0021500111,2015,MIN,CHA
0021500112,2015,NOP,DAL
0021500113,2015,CHA,NYK
0021500114,2015,ORL,LAL
0021500115,2015,PHI,TOR
0021500116,2015,BOS,IND
0021500117,2015,ATL,NOP
0021500118,2015,DAL,LAC
0021500119,2015,HOU,BKN
0021500120,2015,MEM,GSW
0021500121,2015,DEN,MIL
0021500122,2015,SAC,DET
0021500123,2015,POR,SAS
0021500124,2015,MIA,UTA
0021500125,2015,MIN,GSW
0021500126,2015,PHX,LAC
0021500127,2015,IND,MIN
0021500128,2015,ORL,UTA
0021500129,2015,BOS,ATL
0021500130,2015,NYK,CLE
0021500131,2015,TOR,NOP
0021500132,2015,CHI,CHA
0021500133,2015,MEM,POR
0021500134,2015,OKC,PHI
0021500135,2015,DAL,LAL
0021500136,2015,DEN,HOU
0021500137,2015,SAC,BKN
0021500138,2015,LAC,DET
0021500139,2015,WAS,ORL
0021500140,2015,HOU,DAL
0021500141,2015,MIL,CLE
0021500142,2015,SAS,PHI
0021500143,2015,PHX,DEN
0021500144,2015,GSW,BKN
0021500145,2015,NYK,NOP
0021500146,2015,MIN,MEM
0021500147,2015,CHA,POR
0021500148,2015,ATL,UTA
0021500149,2015,OKC,BOS
0021500150,2015,SAC,TOR
0021500151,2015,LAL,DET
0021500152,2015,PHI,DAL
0021500153,2015,CHI,IND
0021500154,2015,HOU,BOS
0021500155,2015,MEM,OKC
0021500156,2015,SAS,POR
0021500157,2015,PHX,LAL
0021500158,2015,WAS,MIL
0021500159,2015,BKN,ATL
0021500160,2015,DET,CLE
0021500161,2015,MIA,MIN
0021500162,2015,NYK,CHA
0021500163,2015,NOP,DEN
0021500164,2015,GSW,TOR
0021500165,2015,CHA,BKN
0021500166,2015,ORL,MIN
0021500167,2015,PHI,IND
0021500168,2015,BOS,DAL
0021500169,2015,ATL,SAC
0021500170,2015,HOU,POR
0021500171,2015,OKC,NOP
0021500172,2015,SAS,DEN
0021500173,2015,UTA,TOR
0021500174,2015,PHX,CHI
0021500175,2015,MIA,SAC
0021500176,2015,CLE,MIL
0021500177,2015,LAC,GSW
0021500178,2015,CHA,PHI
0021500179,2015,BOS,BKN
0021500180,2015,MEM,HOU
0021500181,2015,MIN,DET
0021500182,2015,NOP,SAS
0021500183,2015,OKC,NYK
0021500184,2015,DAL,UTA
0021500185,2015,DEN,PHX
0021500186,2015,POR,LAC
0021500187,2015,GSW,CHI
0021500188,2015,LAL,TOR
